subset,features,classifier,cv_mean,cv_std,train_prauc,test_prauc,n_train,pos_rate
qwen_only,sc+pca16+8,LR_C0.05,0.5971221695474853,0.052544039018479836,0.6348401456955198,0.7390863011478107,1565,0.26070287539936104
gemini+qwen,sc+pca16+8,LGBM_medium,0.509898783030373,0.043168042616043914,0.7385511298120421,0.7383487434254107,3318,0.18173598553345388
no_TruthfulQA,sc+pca16+8,LGBM_medium,0.509898783030373,0.043168042616043914,0.7385511298120421,0.7383487434254107,3318,0.18173598553345388
gemini_only,sc_only,LGBM_medium,0.33978226436720416,0.028993203643380015,0.8263729379450189,0.7376655257018965,1753,0.11123787792355962
gemini_only,ENS_sc+contrast,ensemble_lr_gb,0.4598025994376124,0.08269757988411758,0.0,0.7365901367893894,1753,0.11123787792355962
qwen_only,sc+contrast,LR_C0.01,0.6087313922429096,0.05412150167880811,0.6258819596713976,0.735437654069657,1565,0.26070287539936104
qwen_only,sc+pca16+8+contr,LR_C0.1,0.6249512341715393,0.05243607921923632,0.6691584021762097,0.7350734463704834,1565,0.26070287539936104
gemini_only,ENS_sc+pca32+16+c,ensemble_lr_gb,0.448851175684977,0.06917578843977419,0.0,0.734993031522971,1753,0.11123787792355962
gemini_only,ENS_sc+pca16+8+c,ensemble_lr_gb,0.47607957073432683,0.07788709738172922,0.0,0.7343392614054746,1753,0.11123787792355962
qwen_only,sc+pca16+8,LR_C0.1,0.5966919446813479,0.05175912433714862,0.6373568397355681,0.7330662945160553,1565,0.26070287539936104
qwen_only,sc+pca32+16,LGBM_medium,0.5700518120010413,0.03583998116793079,0.902762603326168,0.7311109369492444,1565,0.26070287539936104
qwen_only,sc_only,LR_C0.01,0.5326791229090053,0.06656391259536691,0.5597601208964189,0.7248898191986087,1565,0.26070287539936104
gemini+qwen,sc+pca32+16,LGBM_conservative,0.48777216004260315,0.031109933578145135,0.586846732694267,0.7245572020497211,3318,0.18173598553345388
no_TruthfulQA,sc+pca32+16,LGBM_conservative,0.48777216004260315,0.031109933578145135,0.586846732694267,0.7245572020497211,3318,0.18173598553345388
qwen_only,ENS_sc+contrast,ensemble_lr_gb,0.6125772703118973,0.038829023139326235,0.0,0.7243242315483016,1565,0.26070287539936104
no_TruthfulQA,sc+contrast,LGBM_conservative,0.5090683678346457,0.016772811846714683,0.5657104196553423,0.7237292879999966,3318,0.18173598553345388
gemini+qwen,sc+contrast,LGBM_conservative,0.5090683678346457,0.016772811846714683,0.5657104196553423,0.7237292879999966,3318,0.18173598553345388
gemini+qwen,sc_only,LGBM_medium,0.4843149504312632,0.03747871700418167,0.6751979567021366,0.7233916441893108,3318,0.18173598553345388
no_TruthfulQA,sc_only,LGBM_medium,0.4843149504312632,0.03747871700418167,0.6751979567021366,0.7233916441893108,3318,0.18173598553345388
qwen_only,sc+pca16+8,LGBM_medium,0.557389493823362,0.04768001778105283,0.8668132692006564,0.723020505766578,1565,0.26070287539936104
gemini+qwen,sc+pca16+8+contr,LGBM_conservative,0.5073377649405677,0.025859115689184056,0.576911453564566,0.7227968354510709,3318,0.18173598553345388
no_TruthfulQA,sc+pca16+8+contr,LGBM_conservative,0.5073377649405677,0.025859115689184056,0.576911453564566,0.7227968354510709,3318,0.18173598553345388
qwen_only,sc+pca32+16+contr,LGBM_medium,0.5893475052483356,0.0366228603157928,0.9000521007328904,0.7220687001270119,1565,0.26070287539936104
qwen_only,sc+pca32+16,LGBM_conservative,0.5461968951584034,0.04748017318918411,0.6946397953285284,0.7209725074377527,1565,0.26070287539936104
no_TruthfulQA,sc+pca32+16+contr,LGBM_conservative,0.5044038842134433,0.015486525912631333,0.5817727621143808,0.7200379283482445,3318,0.18173598553345388
gemini+qwen,sc+pca32+16+contr,LGBM_conservative,0.5044038842134433,0.015486525912631333,0.5817727621143808,0.7200379283482445,3318,0.18173598553345388
no_TruthfulQA,sc_only,LGBM_conservative,0.4563070307476382,0.043226213319232654,0.528854607571187,0.7165408259117816,3318,0.18173598553345388
gemini+qwen,sc_only,LGBM_conservative,0.4563070307476382,0.043226213319232654,0.528854607571187,0.7165408259117816,3318,0.18173598553345388
qwen_only,sc+pca16+8+contr,LGBM_medium,0.5917963928741692,0.043602183078121366,0.8668319390346735,0.716339705116943,1565,0.26070287539936104
gemini+qwen,sc+pca16+8,LGBM_conservative,0.47792668042298675,0.03535502677773627,0.567798266668231,0.7145072196139062,3318,0.18173598553345388
no_TruthfulQA,sc+pca16+8,LGBM_conservative,0.47792668042298675,0.03535502677773627,0.567798266668231,0.7145072196139062,3318,0.18173598553345388
qwen_only,sc+contrast,LR_C0.05,0.6087988058633915,0.05238443651587526,0.6311967082306424,0.7125402207807282,1565,0.26070287539936104
